rent,holiday,holiday_before,holiday_after,ave_temper,low_temper,high_temper,ave_rain,rain_exist,ave_wind
13000,0,0,0,8.7,4,12,11.5,1,2.1
51000,0,0,0,1.4,-1.2,4.3,0,0,1.2
37500,0,0,0,-0.4,-3.6,2.5,0,0,1.4
29000,0,1,0,-1.4,-4.8,1.7,0,0,0.8
34500,1,1,0,-0.9,-5.4,3.3,0,0,0.9
000,1,0,1,3.5,-0.4,7.1,0,0,0.7
29500,0,0,1,3.6,-0.4,5.5,4.5,1,1.1
33000,0,1,0,0.3,-2.8,5.5,0,0,0.5
32000,1,0,0,1.7,-2.8,7,0,0,0.4
000,0,0,1,2.4,-1.2,4.3,2,1,1.3
26500,0,1,0,-1.6,-5.2,2.1,0,0,1.1
37500,1,1,0,0.8,-4.2,6,0,0,1
30500,1,0,1,4.1,-0.3,7.1,1,1,1.3
31000,0,0,1,3.1,-4.6,7.9,0.5,1,1.3
54500,0,1,0,-8.2,-11.6,-4.6,0,0,2
